reviewerID	asin	overall	label	reviewTime
14489	3839	3.0	1	2013-10-11
14490	3839	5.0	1	2013-10-04
14491	3839	5.0	1	2013-10-03
14492	3839	5.0	1	2013-09-30
10199	3839	4.0	1	2013-09-29
11636	3839	4.0	1	2013-09-27
14493	3839	3.0	1	2013-09-18
8489	3839	3.0	1	2013-09-09
14494	3839	4.0	1	2013-09-08
14495	3839	4.0	1	2013-09-02
14496	3839	3.0	1	2013-08-21
14497	3839	5.0	1	2013-08-17
8375	3839	3.0	1	2013-08-13
14498	3839	4.0	1	2013-08-08
14499	3839	3.0	1	2013-08-02
14500	3839	5.0	1	2013-08-02
14501	3839	5.0	1	2013-08-01
14502	3839	2.0	1	2013-07-29
11677	3839	5.0	1	2013-07-27
10244	3839	4.0	1	2013-07-22
14503	3839	4.0	1	2013-07-18
14504	3839	4.0	1	2013-07-18
14505	3839	4.0	1	2013-07-16
14506	3839	3.0	1	2013-07-16
14507	3839	5.0	1	2013-07-15
14508	3839	3.0	1	2013-07-09
14509	3839	4.0	1	2013-07-03
14510	3839	4.0	1	2013-06-26
14511	3839	3.0	1	2013-06-26
14512	3839	5.0	1	2013-06-25
14513	3839	1.0	1	2013-06-21
7053	3839	3.0	1	2013-06-07
14514	3839	4.0	1	2013-06-05
14515	3839	4.0	1	2013-05-29
14516	3839	2.0	1	2013-05-28
10282	3839	3.0	1	2013-05-27
14517	3839	4.0	1	2013-05-26
14518	3839	3.0	1	2013-05-20
8316	3839	3.0	1	2013-05-15
14519	3839	2.0	1	2013-05-14
14520	3839	1.0	1	2013-05-13
11663	3839	5.0	1	2013-05-05
14521	3839	4.0	1	2013-05-03
14522	3839	4.0	1	2013-04-28
14523	3839	1.0	1	2013-04-27
14524	3839	2.0	1	2013-04-22
14525	3839	5.0	1	2013-04-22
14526	3839	3.0	1	2013-04-21
14527	3839	3.0	1	2013-04-19
14528	3839	4.0	1	2013-04-05
6481	3839	1.0	1	2013-04-04
14529	3839	4.0	1	2013-04-01
14530	3839	4.0	1	2013-03-22
7035	3839	4.0	1	2013-03-20
14531	3839	4.0	1	2013-03-12
14532	3839	1.0	1	2013-03-08
8680	3839	4.0	1	2013-03-08
14533	3839	4.0	1	2013-03-02
5125	3839	2.0	1	2013-02-25
10280	3839	3.0	1	2013-02-25
14534	3839	3.0	1	2013-02-17
14535	3839	4.0	1	2013-02-16
10845	3839	3.0	1	2013-02-04
10294	3839	4.0	1	2013-01-30
14536	3839	5.0	1	2013-01-27
14537	3839	4.0	1	2013-01-27
14538	3839	4.0	1	2013-01-26
10267	3839	3.0	1	2013-01-22
14539	3839	5.0	1	2013-01-18
14540	3839	5.0	1	2013-01-15
11267	3839	5.0	1	2012-12-30
14541	3839	4.0	1	2012-12-23
14542	3839	4.0	1	2012-12-12
14543	3839	5.0	1	2012-12-10
14544	3839	5.0	1	2012-12-08
6964	3839	4.0	1	2012-11-29
14545	3839	3.0	1	2012-11-28
14546	3839	4.0	1	2012-11-28
14547	3839	3.0	1	2012-11-27
7288	3839	4.0	1	2012-11-18
11666	3839	4.0	1	2012-10-31
14548	3839	4.0	1	2012-10-29
14549	3839	4.0	1	2012-10-25
7284	3839	4.0	1	2012-10-21
8759	3839	4.0	1	2012-10-18
14550	3839	4.0	1	2012-10-14
14551	3839	4.0	1	2012-10-08
7221	3839	3.0	1	2012-10-04
14552	3839	5.0	1	2012-09-26
14553	3839	3.0	1	2012-09-18
14554	3839	2.0	1	2012-09-13
14555	3839	4.0	1	2012-09-12
14556	3839	4.0	1	2012-08-30
14557	3839	5.0	1	2012-08-21
14558	3839	4.0	1	2012-08-20
14559	3839	5.0	1	2012-08-16
14560	3839	4.0	1	2012-08-09
10339	3839	5.0	1	2012-08-07
10934	3839	5.0	1	2012-08-07
14561	3839	2.0	1	2012-08-05
14562	3839	3.0	1	2012-07-24
14563	3839	3.0	1	2012-07-23
14564	3839	4.0	1	2012-07-17
14565	3839	4.0	1	2012-07-16
11697	3839	5.0	1	2012-07-14
11765	3839	3.0	1	2012-07-09
6898	3839	3.0	1	2012-07-06
14566	3839	5.0	1	2012-07-04
14567	3839	4.0	1	2012-06-24
14568	3839	3.0	1	2012-06-17
14569	3839	4.0	1	2012-06-11
14570	3839	4.0	1	2012-06-10
6909	3839	3.0	1	2012-06-05
14571	3839	4.0	1	2012-05-25
14572	3839	4.0	1	2012-05-24
14573	3839	4.0	1	2012-05-13
14574	3839	3.0	1	2012-05-09
14575	3839	4.0	1	2012-05-07
14576	3839	5.0	1	2012-05-05
14577	3839	4.0	1	2012-05-01
11997	3839	2.0	1	2012-04-24
14578	3839	3.0	1	2012-04-23
14579	3839	4.0	1	2012-04-22
10859	3839	4.0	1	2012-04-22
14580	3839	4.0	1	2012-04-22
14581	3839	1.0	1	2012-04-22
14582	3839	5.0	1	2012-04-21
10814	3839	4.0	1	2012-04-08
14583	3839	4.0	1	2012-04-08
14584	3839	4.0	1	2012-04-01
14585	3839	4.0	1	2012-03-29
14236	3839	4.0	1	2012-03-28
5069	3839	2.0	1	2012-03-20
14586	3839	3.0	1	2012-03-20
14587	3839	5.0	1	2012-03-11
14588	3839	1.0	1	2012-03-09
14589	3839	4.0	1	2012-03-08
14590	3839	3.0	1	2012-03-06
14591	3839	4.0	1	2012-03-04
14592	3839	5.0	1	2012-03-03
14593	3839	5.0	1	2012-02-26
10065	3839	4.0	1	2012-02-26
10895	3839	4.0	1	2012-02-23
14594	3839	3.0	1	2012-02-20
14595	3839	3.0	1	2012-02-20
14596	3839	4.0	1	2012-02-16
14597	3839	4.0	1	2012-02-13
14598	3839	5.0	1	2012-02-10
10260	3839	4.0	1	2012-02-08
7519	3839	4.0	1	2012-02-08
14599	3839	4.0	1	2012-02-04
10336	3839	4.0	1	2012-01-31
14600	3839	5.0	1	2012-01-29
7427	3839	5.0	1	2012-01-29
14601	3839	4.0	1	2012-01-29
14602	3839	3.0	1	2012-01-23
14603	3839	5.0	1	2012-01-08
8057	3839	3.0	1	2012-01-06
10855	3839	4.0	1	2012-01-05
14604	3839	4.0	1	2012-01-03
14605	3839	4.0	1	2011-12-28
14606	3839	3.0	1	2011-12-24
14607	3839	4.0	1	2011-12-21
14608	3839	4.0	1	2011-12-16
11832	3839	2.0	1	2011-11-15
14609	3839	4.0	1	2011-11-06
14610	3839	4.0	1	2011-11-03
14611	3839	4.0	1	2011-11-01
14612	3839	2.0	1	2011-10-17
10077	3839	2.0	1	2011-10-09
14613	3839	5.0	1	2011-10-06
11933	3839	4.0	1	2011-10-05
14614	3839	4.0	1	2011-10-01
14615	3839	4.0	1	2011-09-28
14616	3839	5.0	1	2011-09-23
14617	3839	4.0	1	2011-09-13
14618	3839	3.0	1	2011-08-27
14619	3839	4.0	1	2011-08-22
14620	3839	5.0	1	2011-08-10
14621	3839	3.0	1	2011-08-02
14622	3839	4.0	1	2011-07-16
14623	3839	2.0	1	2011-07-16
7592	3839	4.0	1	2011-07-12
14624	3839	2.0	1	2011-06-30
14625	3839	2.0	1	2011-06-28
14626	3839	2.0	1	2011-06-26
14627	3839	2.0	1	2011-06-24
8739	3839	4.0	1	2011-06-22
14628	3839	4.0	1	2011-06-11
11581	3839	4.0	1	2011-06-02
14629	3839	1.0	1	2011-06-01
7256	3839	4.0	1	2011-05-26
14630	3839	4.0	1	2011-05-13
14631	3839	2.0	1	2011-05-08
14632	3839	3.0	1	2011-05-07
14633	3839	3.0	1	2011-05-04
14634	3839	3.0	1	2011-04-16
14635	3839	2.0	1	2011-04-12
14636	3839	3.0	1	2011-04-04
14637	3839	3.0	1	2011-04-02
14638	3839	4.0	1	2011-03-29
14639	3839	2.0	1	2011-03-19
14640	3839	3.0	1	2011-03-14
14641	3839	4.0	1	2011-03-12
14642	3839	4.0	1	2011-03-09
