	reviewer_1	reviewer_2	suspicious_score	commonproducts
0	2	11114	1	1
1	2	14889	1	1
2	2	14998	1	1
3	2	14999	1	1
4	2	15000	1	1
5	2	15001	1	1
6	2	15003	1	1
7	5069	8467	1	1
8	5069	14586	1	1
9	5069	15124	1	1
10	5069	15182	1	1
11	5069	15183	1	1
12	5077	7176	1	1
13	5077	15141	1	1
14	5077	15142	1	1
15	5125	10280	1	1
16	5125	14534	1	1
17	5169	14844	1	1
18	5468	14839	1	1
19	5496	14882	1	1
20	5496	14960	1	1
21	5496	14961	1	1
22	5496	14962	1	1
23	5496	14963	1	1
24	5654	7907	1	1
25	5654	7908	1	1
26	5654	10927	1	1
27	5654	14673	1	1
28	5654	14674	1	1
29	6575	14937	1	1
30	6575	14938	1	1
31	6898	11765	1	1
32	6898	14565	1	1
33	6909	14569	1	1
34	6909	14570	1	1
35	6964	14544	1	1
36	6964	14545	1	1
37	6964	14546	1	1
38	6964	14547	1	1
39	7035	14530	1	1
40	7035	14531	1	1
41	7053	14514	1	1
42	7053	14515	1	1
43	7053	14516	1	1
44	7176	15142	1	1
45	7176	15143	1	1
46	7176	15144	1	1
47	7221	14550	1	1
48	7221	14551	1	1
49	7256	11581	1	1
50	7284	8759	1	1
51	7284	11666	1	1
52	7284	14548	1	1
53	7284	14549	1	1
54	7284	14550	1	1
55	7288	14545	1	1
56	7288	14546	1	1
57	7288	14547	1	1
58	7316	15143	1	1
59	7316	15144	1	1
60	7427	7519	1	1
61	7427	10260	1	1
62	7427	10336	1	1
63	7427	14599	1	1
64	7427	14600	1	1
65	7427	14601	1	1
66	7519	10260	1	1
67	7519	10336	1	1
68	7519	14596	1	1
69	7519	14597	1	1
70	7519	14598	1	1
71	7519	14599	1	1
72	7519	14600	1	1
73	7519	14601	1	1
74	7583	14656	1	1
75	7592	14622	1	1
76	7688	7913	1	1
77	7688	14659	1	1
78	7764	7808	1	1
79	7824	12037	1	1
80	7824	14666	1	1
81	7907	7908	1	1
82	7907	10927	1	1
83	7907	14672	1	1
84	7907	14673	1	1
85	7907	14674	1	1
86	7908	10927	1	1
87	7908	14672	1	1
88	7908	14673	1	1
89	7908	14674	1	1
90	7913	14658	1	1
91	7913	14659	1	1
92	7970	14678	1	1
93	7970	14679	1	1
94	8048	8087	1	1
95	8057	10855	1	1
96	8057	14604	1	1
97	8057	14605	1	1
98	8079	15129	1	1
99	8079	15206	1	1
100	8085	8252	1	1
101	8085	14742	1	1
102	8087	14713	1	1
103	8087	14715	1	1
104	8149	14713	1	1
105	8158	12120	1	1
106	8195	14725	1	1
107	8199	12186	1	1
108	8205	14731	1	1
109	8205	14732	1	1
110	8225	10932	1	1
111	8225	14684	1	1
112	8226	14728	1	1
113	8226	14729	1	1
114	8259	12185	1	1
115	8259	14750	1	1
116	8261	14748	1	1
117	8263	12186	1	1
118	8313	10200	1	1
119	8313	15122	1	1
120	8316	14518	1	1
121	8316	14519	1	1
122	8358	14671	1	1
123	8358	15181	1	1
124	8375	14496	1	1
125	8375	14498	1	1
126	8467	15124	1	1
127	8467	15182	1	1
128	8467	15183	1	1
129	8467	15184	1	1
130	8489	14493	1	1
131	8489	14494	1	1
132	8489	14495	1	1
133	8655	10223	1	1
134	8655	15152	1	1
135	8655	15153	1	1
136	8655	15154	1	1
137	8655	15155	1	1
138	8680	14531	1	1
139	8680	14533	1	1
140	8759	14549	1	1
141	8759	14550	1	1
142	8759	14551	1	1
143	9251	14865	1	1
144	9284	14870	1	1
145	9284	14898	1	1
146	9284	14899	1	1
147	9284	15052	1	1
148	9284	15053	1	1
149	9349	14908	1	1
150	9349	15081	1	1
151	9422	14878	1	1
152	9422	14940	1	1
153	9422	14941	1	1
154	9422	14942	1	1
155	9422	14943	1	1
156	9422	14944	1	1
157	9628	14867	1	1
158	9628	14968	1	1
159	9739	15085	1	1
160	9739	15086	1	1
161	9739	15087	1	1
162	9764	14909	1	1
163	9764	14910	1	1
164	9764	15083	1	1
165	9764	15084	1	1
166	10063	15166	1	1
167	10063	15168	1	1
168	10063	15169	1	1
169	10065	10895	1	1
170	10065	14590	1	1
171	10065	14591	1	1
172	10065	14592	1	1
173	10065	14593	1	1
174	10065	14594	1	1
175	10065	14595	1	1
176	10065	14596	1	1
177	10077	14612	1	1
178	10089	15266	1	1
179	10101	14681	1	1
180	10108	14701	1	1
181	10108	14702	1	1
182	10108	14703	1	1
183	10199	11636	1	1
184	10199	14490	1	1
185	10199	14491	1	1
186	10199	14492	1	1
187	10223	15152	1	1
188	10223	15153	1	1
189	10223	15154	1	1
190	10223	15155	1	1
191	10244	11677	1	1
192	10244	14501	1	1
193	10244	14503	1	1
194	10244	14504	1	1
195	10244	14505	1	1
196	10244	14506	1	1
197	10244	14507	1	1
198	10252	14698	1	1
199	10252	14699	1	1
200	10254	15171	1	1
201	10260	10336	1	1
202	10260	14596	1	1
203	10260	14597	1	1
204	10260	14598	1	1
205	10260	14599	1	1
206	10260	14600	1	1
207	10260	14601	1	1
208	10267	10294	1	1
209	10267	14537	1	1
210	10267	14538	1	1
211	10280	14533	1	1
212	10280	14534	1	1
213	10280	14535	1	1
214	10282	14514	1	1
215	10282	14515	1	1
216	10282	14516	1	1
217	10282	14517	1	1
218	10282	14518	1	1
219	10294	10845	1	1
220	10294	14536	1	1
221	10294	14537	1	1
222	10294	14538	1	1
223	10307	14646	1	1
224	10307	14648	1	1
225	10307	14649	1	1
226	10322	11839	1	1
227	10322	15194	1	1
228	10322	15195	1	1
